Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Show Name	Tone Mode	CTCSS Tone	DCS Code	Step	Clock Shift	Tx Power	Narrow	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Bank 10	Bank 11	Bank 12	Bank 13	Bank 14	Bank 15	Bank 16	Bank 17	Bank 18	Bank 19	Bank 20	Comment
112	449.67500	449.67500	5.00 MHz	Simplex	FM	SUNRIS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
113	449.67500	449.67500	5.00 MHz	Simplex	FM	APEX M	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
114	145.12000	145.12000	600 kHz	Simplex	FM	SE SAN	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
115	145.20000	145.20000	600 kHz	Simplex	FM	PALM S	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
116	145.28000	145.28000	600 kHz	Simplex	FM	SE SAN	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
117	145.34000	145.34000	600 kHz	Simplex	FM	BORREG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
118	145.36000	145.36000	600 kHz	Simplex	FM	MT OTA	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
119	145.38000	145.38000	600 kHz	Simplex	FM	CHUCKW	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
120	145.44000	145.44000	600 kHz	Simplex	FM	IRLP #	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
121	145.48000	145.48000	600 kHz	Simplex	FM	IRLP #	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
122	146.02500	146.02500	600 kHz	Simplex	FM	COACHU	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
123	146.08500	146.08500	600 kHz	Simplex	FM	ANZA B	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
124	146.26500	146.26500	600 kHz	Simplex	FM	LYONS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
125	146.35500	146.35500	600 kHz	Simplex	FM	CHUCKW	Show Name	Enc-Dec	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
126	146.64000	146.64000	600 kHz	Simplex	FM	MT OTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
127	146.67000	146.67000	600 kHz	Simplex	FM	SUPERS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
128	146.70000	146.70000	600 kHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
129	146.73000	146.73000	600 kHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
130	146.88000	146.88000	600 kHz	Simplex	FM	GLAMIS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
131	146.91000	146.91000	600 kHz	Simplex	FM	MT OTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
132	146.89500	146.89500	600 kHz	Simplex	FM	PINE C	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
133	146.92500	146.92500	600 kHz	Simplex	FM	SANTIA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
134	146.92500	146.92500	600 kHz	Simplex	FM	MT OTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
135	146.94000	146.94000	600 kHz	Simplex	FM	EDOM H	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
136	147.00000	147.00000	600 kHz	Simplex	FM	BLYTHE	Show Name	Enc-Dec	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
137	147.03000	147.03000	600 kHz	Simplex	FM	DESERT	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
138	147.03000	147.03000	600 kHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
139	147.07500	147.07500	600 kHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
140	147.09000	147.09000	600 kHz	Simplex	FM	BLYTHE	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
141	147.12000	147.12000	600 kHz	Simplex	FM	BLACK	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
142	147.13000	147.13000	600 kHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
143	147.15000	147.15000	600 kHz	Simplex	FM	MT LAG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
144	147.17500	147.17500	600 kHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
145	147.24000	147.24000	600 kHz	Simplex	FM	MONUME	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
146	147.91500	147.91500	600 kHz	Simplex	FM	MT EDN	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
147	223.94000	223.94000	1.60 MHz	Simplex	FM	LYONS	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
148	224.18000	224.18000	1.60 MHz	Simplex	FM	TORO P	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
149	224.38000	224.38000	1.60 MHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
150	224.82000	224.82000	1.60 MHz	Simplex	FM	SANTIA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
151	445.64000	445.64000	5.00 MHz	Simplex	FM	EDOM H	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
152	445.68000	445.68000	5.00 MHz	Simplex	FM	PALM S	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
153	446.40000	446.40000	5.00 MHz	Simplex	FM	PALOMA	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
154	446.64000	446.64000	5.00 MHz	Simplex	FM	SANTIA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
155	446.64000	446.64000	5.00 MHz	Simplex	FM	PALM D	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
156	446.75000	446.75000	5.00 MHz	Simplex	FM	MONUME	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
157	447.00000	447.00000	5.00 MHz	Simplex	FM	SO PAL	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
158	447.32000	447.32000	5.00 MHz	Simplex	FM	EDOM H	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
159	447.44000	447.44000	5.00 MHz	Simplex	FM	MT OTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
160	447.48000	447.48000	5.00 MHz	Simplex	FM	PINE C	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
161	447.48000	447.48000	5.00 MHz	Simplex	FM	EDOM H	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
162	447.58000	447.58000	5.00 MHz	Simplex	FM	CHIRIA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
163	447.58000	447.58000	5.00 MHz	Simplex	FM	MT SAN	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
164	447.64000	447.64000	5.00 MHz	Simplex	FM	MT OTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
165	448.06000	448.06000	5.00 MHz	Simplex	FM	SANTIA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
166	448.90000	448.90000	5.00 MHz	Simplex	FM	SANTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
167	449.08000	449.08000	5.00 MHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
168	449.16000	449.16000	5.00 MHz	Simplex	FM	JAMUL	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
169	449.18000	449.18000	5.00 MHz	Simplex	FM	MONUME	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
170	449.20000	449.20000	5.00 MHz	Simplex	FM	MT LAG	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
171	449.28000	449.28000	5.00 MHz	Simplex	FM	PINE C	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
172	449.30000	449.30000	5.00 MHz	Simplex	FM	PALOMA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
173	449.50000	449.50000	5.00 MHz	Simplex	FM	MT OTA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
174	449.70000	449.70000	5.00 MHz	Simplex	FM	PALM S	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
175	449.98000	449.98000	5.00 MHz	Simplex	FM	MT OTA	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
176	147.22000	146.62000	600 kHz	Minus	FM	DEZA B	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
177	147.04000	146.44000	600 kHz	Minus	FM	DAVENP	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
178	147.36000	146.76000	600 kHz	Minus	FM	FRISCO	Show Name	None	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
179	147.14000	146.54000	600 kHz	Minus	FM	LUERA	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
180	145.17000	144.57000	600 kHz	Minus	FM	JACK?S	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
181	147.02000	146.42000	600 kHz	Minus	FM	LITTLE	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
182	146.66000	146.06000	600 kHz	Minus	FM	MT TAY	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
183	146.94000	146.34000	600 kHz	Minus	FM	MT TAY	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
184	146.64000	146.64000	600 kHz	Simplex	FM	MT TAY	Show Name	Enc	100.0	023	5 kHz	Off	High	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	
